arid_temp1,arid_temp2,arid_temp3,arid_temp4,arid_temp5
a.gal10.n,1.55,,,0.0141081257125794
a.gal10.n,1.56,,,0.0141446832883601
a.gal10.n,1.57,,,0.0141813236843334
a.gal10.n,1.58,,,0.0142180470534167
a.gal10.n,1.59,,,0.0142548535487139
a.gal10.n,1.6,,,0.0142917433235157
a.gal10.n,1.61,,,0.0143287165312994
a.gal10.n,1.62,,,0.0143657733257292
a.gal10.n,1.63,,,0.0144029138606556
a.gal10.n,1.64,,,0.0144401382901159
a.gal10.n,1.65,,,0.0144774467683337
a.gal10.n,1.66,,,0.0145148394497193
a.gal10.n,1.67,,,0.0145523164888695
a.gal10.n,1.68,,,0.0145898780405674
a.gal10.n,1.69,,,0.0146275242597825
a.gal10.n,1.7,,,0.0146652553016707
a.gal10.n,1.71,,,0.0147030713215741
a.gal10.n,1.72,,,0.0147409724750213
a.gal10.n,1.73,,,0.0147789589177269
a.gal10.n,1.74,,,0.0148170308055918
a.gal10.n,1.75,,,0.014855188294703
a.gal10.n,1.76,,,0.0148934315413334
a.gal10.n,1.77,,,0.0149317607019424
a.gal10.n,1.78,,,0.0149701759331749
a.gal10.n,1.79,,,0.015008677391862
a.gal10.n,1.8,,,0.0150472652350208
a.gal10.n,1.81,,,0.0150859396198539
a.gal10.n,1.82,,,0.01512470070375
a.gal10.n,1.83,,,0.0151635486442835
a.gal10.n,1.84,,,0.0152024835992145
a.gal10.n,1.85,,,0.0152415057264885
a.gal10.n,1.86,,,0.0152806151842368
a.gal10.n,1.87,,,0.0153198121307763
a.gal10.n,1.88,,,0.0153590967246092
a.gal10.n,1.89,,,0.0153984691244233
a.gal10.n,1.9,,,0.0154379294890914
a.gal10.n,1.91,,,0.015477477977672
a.gal10.n,1.92,,,0.0155171147494087
a.gal10.n,1.93,,,0.0155568399637301
a.gal10.n,1.94,,,0.0155966537802503
a.gal10.n,1.95,,,0.0156365563587679
a.gal10.n,1.96,,,0.0156765478592671
a.gal10.n,1.97,,,0.0157166284419165
a.gal10.n,1.98,,,0.0157567982670699
a.gal10.n,1.99,,,0.0157970574952658
